Match,Winner,Start player
1,2,1
2,2,1
3,2,2
4,2,1
5,2,1
6,2,1
7,2,1
8,2,2
9,2,2
10,2,2
11,1,1
12,2,2
13,2,2
14,2,2
15,2,2
16,2,2
17,2,2
18,2,2
19,2,2
20,2,2
21,2,1
22,2,2
23,2,2
24,2,2
25,2,1
26,2,2
27,2,2
28,2,2
29,2,1
30,2,2
31,2,2
32,2,1
33,2,1
34,2,2
35,2,1
36,2,2
37,1,2
38,2,2
39,2,1
40,2,1
41,2,2
42,1,2
43,2,2
44,2,1
45,2,1
46,2,1
47,2,1
48,2,1
49,1,2
50,2,1
51,2,1
52,2,1
53,2,1
54,2,1
55,2,2
56,2,2
57,2,2
58,2,2
59,2,2
60,2,1
61,2,2
62,2,2
63,2,2
64,2,2
65,2,2
66,2,2
67,2,2
68,2,2
69,2,1
70,0,2
71,2,2
72,2,2
73,2,1
74,2,2
75,2,2
76,2,2
77,2,1
78,2,1
79,2,1
80,2,1
81,2,1
82,2,1
83,2,2
84,2,2
85,2,1
86,2,2
87,2,1
88,2,2
89,2,2
90,2,2
91,2,1
92,2,1
93,2,2
94,2,2
95,2,1
96,2,1
97,2,1
98,2,1
99,2,2
100,2,1
